Model A (Base DistilmBERT),Model B (DAPT-DistilmBERT),Model C (XLM-R Base),Model D (Optimized DAPT)
93.01060000007055,92.84389999993437,192.5536000003376,32.29049999981726
93.79560000024867,92.82560000019657,191.94880000031844,33.17460000016581
95.26999999980035,94.47769999997035,187.27539999963483,32.40129999994679
95.70379999968281,94.5833999999195,192.10149999980786,32.376299999668845
93.71580000015456,94.57400000019334,195.703500000036,30.760499999814783
93.42879999985598,94.75079999992886,196.2119999998322,30.512600000292878
93.73460000006162,94.83619999991788,195.39789999998902,30.58129999999437
92.98420000004626,94.67480000012074,192.82609999982014,31.599999999798456
94.97640000017782,95.08819999973639,189.68219999987923,32.80640000002677
93.0874999999105,93.51909999986674,195.46799999989162,31.860600000072736
93.28069999992294,94.35609999991357,194.12460000012288,31.301299999995535
93.01539999978559,92.60740000036094,192.57120000020223,31.109399999877496
93.32590000030905,93.70420000004742,188.4908999995787,31.93829999963782
94.85339999991993,93.61300000000483,185.49699999994118,32.15679999993881
94.29099999988466,92.71310000031008,184.76579999969545,31.38330000001588
93.77700000004552,92.75269999989177,186.69739999995727,31.493099999806873
93.56489999981932,92.53030000036233,188.94509999972797,31.83660000013333
94.98119999989285,93.96779999997307,183.73879999990095,31.463499999972555
95.99030000026687,93.01480000021911,187.27129999979297,33.01899999996749
93.42339999966498,93.21940000018003,187.59240000008504,32.05019999995784
92.58730000010473,93.86789999962275,188.50410000004558,32.38439999995535
93.29569999999876,93.09910000001764,186.96629999976722,33.51300000031188
94.25200000032419,92.8343999999015,184.9651000002268,33.41520000003584
94.49229999972886,93.4650999997757,187.23129999989396,33.50589999990916
94.63219999997818,92.87140000014915,185.23979999963558,32.85069999992629
94.26480000001902,92.02740000000631,185.73390000028667,32.537999999931344
93.13539999993736,92.25010000000111,185.14189999996233,31.016100000215374
93.27530000018669,94.36529999993581,189.69020000031378,32.82330000001821
93.06280000009792,92.73170000005848,187.56530000018756,31.288900000163267
93.42839999999342,93.20119999983945,187.13590000015756,30.61409999963871
92.95000000020082,92.65850000019782,186.53879999965284,32.60199999976976
93.24470000001384,92.68370000017967,186.97580000025482,31.784700000116572
93.15849999984493,92.5600000000486,188.08320000016465,33.361600000262115
93.303300000116,93.337899999824,188.34349999997357,33.76699999989796
96.45299999965573,94.28190000016912,185.46150000020134,30.72680000013861
92.85859999999957,93.12839999984135,188.33139999969717,30.511200000091776
93.63370000028226,92.42929999982152,187.23610000006374,30.524100000093313
92.96199999971577,92.68909999991592,186.08369999992647,30.19349999976839
93.43540000008943,92.98159999980271,184.46369999992385,30.44720000025336
93.5577000000194,92.8462000001673,184.49069999996937,30.438199999935023
96.19620000012219,92.48660000002928,184.9790999999641,30.416500000228552
92.16160000005402,95.58109999989028,186.82940000007875,30.3580999998303
93.21020000015778,92.57139999999708,185.5476999999155,31.380599999920378
93.79940000007991,92.51679999988482,184.59889999985535,31.612499999937427
94.01960000013787,93.4652000000824,185.4009999997288,30.956500000229425
96.01410000004762,93.46199999981764,184.5701000002009,30.835099999876547
92.55949999987934,92.74790000017674,186.8693000001258,32.22170000026381
93.37659999982861,92.10720000010042,188.91969999958746,31.103499999971973
91.8971999999485,91.95219999992332,185.31819999998334,30.248499999743217
92.82159999975192,92.6726000002418,186.74669999973048,32.2771000001012
91.87130000009347,94.26719999964916,186.20340000006763,31.549100000120234
95.24170000031518,92.68790000032823,184.83480000031705,31.500600000072154
92.33899999981077,93.3509999999842,186.02889999965555,30.564700000013545
92.1266000000287,92.2363999998197,187.0224999997845,30.498000000079628
91.9659999999567,93.1521999996221,185.0918999998612,30.545900000106485
93.89409999994314,93.22810000003301,186.13450000020748,30.364000000190572
93.32199999971635,93.08640000017476,186.2370999997438,30.643399999917165
93.40429999974731,93.44949999967866,188.26910000007047,30.32660000008036
95.04849999984799,92.4881999999343,203.0442000000221,30.514000000039232
94.59310000011101,92.37929999972039,193.65279999965423,31.22540000003937
94.6089000003667,93.08959999998478,196.72179999997752,31.095599999844126
95.15719999990324,93.3073000001059,195.3771999997116,30.44099999988248
94.43939999982831,92.9562999999689,196.93290000031993,30.569699999887234
92.81729999975141,93.53549999968891,194.72730000006777,30.6972999997015
93.09630000007019,93.82749999986117,192.99899999987247,31.023300000015297
94.92650000038338,94.08209999992323,201.79030000008424,31.476199999815435
95.73199999977078,92.97860000015135,193.88489999982994,30.665100000078382
92.21089999982723,93.17310000005818,193.89130000035948,30.121600000256876
93.8200999999026,92.54640000017389,191.73570000020845,30.456100000264996
92.58399999998801,91.75120000008974,185.68660000028103,30.583499999920605
92.68630000042322,93.30649999992602,188.47890000006373,31.533600000329898
93.08869999995295,92.57400000024063,192.76369999988674,30.526600000030157
96.9810999999936,93.02569999999832,191.71219999998357,30.546399999821006
93.2996000001367,92.67570000019987,191.729099999975,30.67940000028102
92.85300000010466,93.76659999998083,198.075499999959,30.466299999716284
93.66270000009536,93.95519999998214,197.70280000011553,30.379499999980908
93.5762999997678,92.94729999965057,186.00820000028762,30.361399999947025
95.03780000022743,93.58629999996992,184.95819999998275,31.32770000001983
93.32129999984318,93.00990000019738,185.04480000001422,30.577699999867036
94.76279999989856,93.41000000040367,188.36989999999787,30.58790000022782
94.91699999989578,92.66840000009324,185.78239999988,32.03540000004068
95.56609999981447,93.78349999997226,187.23310000041238,30.594899999869085
95.58890000016618,93.10729999970135,183.28459999975166,31.128899999657733
95.21649999987858,92.74450000020806,186.10749999970722,30.45849999989514
93.34420000004684,92.70669999978054,184.85210000017105,30.546999999842228
93.3655999997427,94.63069999992513,185.64139999989493,31.59700000014709
92.49769999996715,93.49340000017037,186.45180000021355,30.578999999761436
93.2674999999108,93.67239999983212,183.8041000000885,30.424300000049698
93.27930000017659,92.90490000012142,185.57789999977103,30.467900000076042
92.84669999988182,93.30550000004223,185.74519999992845,30.54019999990487
93.76549999979034,92.66650000017762,185.01289999994697,30.492599999888625
